"Number of Establishments  Employing 20 or More Workers by Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0021B3E9020.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Learning about ECP";"Major Industry Group";"2017"
"Radio";"..Arts, Entertainment and  Recreation";4
"Radio";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";11
"Television";"ALL INDUSTRIES";1729
"Television";"..Agriculture, Forestry and Fishing";35
"Television";"..Mining and Quarrying";15
"Television";"..Manufacturing";361
"Television";"..Electricity, Gas, Steam and Air Conditioning Supply";9
"Television";"..Water Supply; Sewerage, Waste Management and Remediation Activities";5
"Television";"..Construction";49
"Television";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";390
"Television";"..Transportation and Storage";48
"Television";"..Accommodation and Food Service Activities";228
"Television";"..Information and Communication";32
"Television";"..Financial and Insurance Activities";78
"Television";"..Real Estate Activities";24
"Television";"..Professional, Scientific and Technical Activities";38
"Television";"..Administrative and Support Service Activities";93
"Television";"..Education Except Public Education";202
"Television";"..Human Health and Social Work Activities Except Public Health Activities";87
"Television";"..Arts, Entertainment and  Recreation";8
"Television";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";26
"ECC Website";"ALL INDUSTRIES";5985
"ECC Website";"..Agriculture, Forestry and Fishing";164
"ECC Website";"..Mining and Quarrying";40
"ECC Website";"..Manufacturing";1234
"ECC Website";"..Electricity, Gas, Steam and Air Conditioning Supply";63
"ECC Website";"..Water Supply; Sewerage, Waste Management and Remediation Activities";30
"ECC Website";"..Construction";222
"ECC Website";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";1265
"ECC Website";"..Transportation and Storage";218
"ECC Website";"..Accommodation and Food Service Activities";720
"ECC Website";"..Information and Communication";125
"ECC Website";"..Financial and Insurance Activities";320
"ECC Website";"..Real Estate Activities";79
"ECC Website";"..Professional, Scientific and Technical Activities";139
"ECC Website";"..Administrative and Support Service Activities";436
"ECC Website";"..Education Except Public Education";573
"ECC Website";"..Human Health and Social Work Activities Except Public Health Activities";220
"ECC Website";"..Arts, Entertainment and  Recreation";38
"ECC Website";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";99
"SSS Website";"ALL INDUSTRIES";13095
"SSS Website";"..Agriculture, Forestry and Fishing";329
"SSS Website";"..Mining and Quarrying";67
"SSS Website";"..Manufacturing";2639
"SSS Website";"..Electricity, Gas, Steam and Air Conditioning Supply";123
"SSS Website";"..Water Supply; Sewerage, Waste Management and Remediation Activities";53
"SSS Website";"..Construction";406
"SSS Website";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";2902
"SSS Website";"..Transportation and Storage";468
"SSS Website";"..Accommodation and Food Service Activities";1612
"SSS Website";"..Information and Communication";325
"SSS Website";"..Financial and Insurance Activities";582
"SSS Website";"..Real Estate Activities";225
