"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Total Population;""....City of Pasig"";""Female"";""40-44"";27225",,,,
"Total Population;""....City of Pasig"";""Female"";""45-49"";22310",,,,
"Total Population;""....City of Pasig"";""Female"";""50-54"";19247",,,,
"Total Population;""....City of Pasig"";""Female"";""55-59"";15653",,,,
"Total Population;""....City of Pasig"";""Female"";""60-64"";13053",,,,
"Total Population;""....City of Pasig"";""Female"";""65-69"";9286",,,,
"Total Population;""....City of Pasig"";""Female"";""70-74"";5977",,,,
"Total Population;""....City of Pasig"";""Female"";""75-79"";3255",,,,
"Total Population;""....City of Pasig"";""Female"";""80 years old and over"";3467",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""All Ages"";2960048",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""Below 5"";291246",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""5-9"";276602",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""10-14"";258587",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""15-19"";242000",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""20-24"";275540",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""25-29"";277852",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""30-34"";253250",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""35-39"";220352",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""40-44"";195936",,,,
"Total Population;""....Quezon City"";""Both Sexes"";""45-49"";166339",,,,
