"Population by Age Group, Sex, Region, and Province/Highly Urbanized City: Philippines , 2020",,,,
,,,,
PX-Web - Select variable and values,,,,
,,,,
"Parameter;""Geographic Location"";""Sex"";""Age Group"";Population by Age Group", Sex, Region, and Province/Highly Urbanized City: Philippines ,2020
"Household Population;""....Abra"";""Male"";""55-59"";5504",,,,
"Household Population;""....Abra"";""Male"";""60-64"";4905",,,,
"Household Population;""....Abra"";""Male"";""65-69"";3514",,,,
"Household Population;""....Abra"";""Male"";""70-74"";2203",,,,
"Household Population;""....Abra"";""Male"";""75-79"";1215",,,,
"Household Population;""....Abra"";""Male"";""80 years old and over"";1586",,,,
"Household Population;""....Abra"";""Female"";""All Ages"";122677",,,,
"Household Population;""....Abra"";""Female"";""Below 5"";9495",,,,
"Household Population;""....Abra"";""Female"";""5-9"";11595",,,,
"Household Population;""....Abra"";""Female"";""10-14"";12201",,,,
"Household Population;""....Abra"";""Female"";""15-19"";12308",,,,
"Household Population;""....Abra"";""Female"";""20-24"";10118",,,,
"Household Population;""....Abra"";""Female"";""25-29"";9539",,,,
"Household Population;""....Abra"";""Female"";""30-34"";8684",,,,
"Household Population;""....Abra"";""Female"";""35-39"";7888",,,,
"Household Population;""....Abra"";""Female"";""40-44"";7021",,,,
"Household Population;""....Abra"";""Female"";""45-49"";6095",,,,
"Household Population;""....Abra"";""Female"";""50-54"";5828",,,,
"Household Population;""....Abra"";""Female"";""55-59"";5440",,,,
"Household Population;""....Abra"";""Female"";""60-64"";4934",,,,
"Household Population;""....Abra"";""Female"";""65-69"";3892",,,,
"Household Population;""....Abra"";""Female"";""70-74"";2777",,,,
"Household Population;""....Abra"";""Female"";""75-79"";1870",,,,
"Household Population;""....Abra"";""Female"";""80 years old and over"";2992",,,,
"Household Population;""....Apayao"";""Both Sexes"";""All Ages"";123937",,,,
"Household Population;""....Apayao"";""Both Sexes"";""Below 5"";11169",,,,
"Household Population;""....Apayao"";""Both Sexes"";""5-9"";12088",,,,
"Household Population;""....Apayao"";""Both Sexes"";""10-14"";13012",,,,
"Household Population;""....Apayao"";""Both Sexes"";""15-19"";12476",,,,
"Household Population;""....Apayao"";""Both Sexes"";""20-24"";11632",,,,
"Household Population;""....Apayao"";""Both Sexes"";""25-29"";10105",,,,
"Household Population;""....Apayao"";""Both Sexes"";""30-34"";8725",,,,
"Household Population;""....Apayao"";""Both Sexes"";""35-39"";7960",,,,
"Household Population;""....Apayao"";""Both Sexes"";""40-44"";7317",,,,
"Household Population;""....Apayao"";""Both Sexes"";""45-49"";6713",,,,
"Household Population;""....Apayao"";""Both Sexes"";""50-54"";5734",,,,
"Household Population;""....Apayao"";""Both Sexes"";""55-59"";5035",,,,
"Household Population;""....Apayao"";""Both Sexes"";""60-64"";4214",,,,
"Household Population;""....Apayao"";""Both Sexes"";""65-69"";2960",,,,
"Household Population;""....Apayao"";""Both Sexes"";""70-74"";1954",,,,
"Household Population;""....Apayao"";""Both Sexes"";""75-79"";1250",,,,
"Household Population;""....Apayao"";""Both Sexes"";""80 years old and over"";1593",,,,
"Household Population;""....Apayao"";""Male"";""All Ages"";64221",,,,
"Household Population;""....Apayao"";""Male"";""Below 5"";5824",,,,
"Household Population;""....Apayao"";""Male"";""5-9"";6375",,,,
"Household Population;""....Apayao"";""Male"";""10-14"";6812",,,,
"Household Population;""....Apayao"";""Male"";""15-19"";6396",,,,
"Household Population;""....Apayao"";""Male"";""20-24"";6018",,,,
"Household Population;""....Apayao"";""Male"";""25-29"";5342",,,,
"Household Population;""....Apayao"";""Male"";""30-34"";4628",,,,
"Household Population;""....Apayao"";""Male"";""35-39"";4173",,,,
"Household Population;""....Apayao"";""Male"";""40-44"";3856",,,,
"Household Population;""....Apayao"";""Male"";""45-49"";3522",,,,
"Household Population;""....Apayao"";""Male"";""50-54"";3070",,,,
"Household Population;""....Apayao"";""Male"";""55-59"";2608",,,,
"Household Population;""....Apayao"";""Male"";""60-64"";2116",,,,
"Household Population;""....Apayao"";""Male"";""65-69"";1426",,,,
"Household Population;""....Apayao"";""Male"";""70-74"";892",,,,
"Household Population;""....Apayao"";""Male"";""75-79"";555",,,,
"Household Population;""....Apayao"";""Male"";""80 years old and over"";608",,,,
"Household Population;""....Apayao"";""Female"";""All Ages"";59716",,,,
"Household Population;""....Apayao"";""Female"";""Below 5"";5345",,,,
"Household Population;""....Apayao"";""Female"";""5-9"";5713",,,,
"Household Population;""....Apayao"";""Female"";""10-14"";6200",,,,
"Household Population;""....Apayao"";""Female"";""15-19"";6080",,,,
"Household Population;""....Apayao"";""Female"";""20-24"";5614",,,,
"Household Population;""....Apayao"";""Female"";""25-29"";4763",,,,
"Household Population;""....Apayao"";""Female"";""30-34"";4097",,,,
"Household Population;""....Apayao"";""Female"";""35-39"";3787",,,,
"Household Population;""....Apayao"";""Female"";""40-44"";3461",,,,
"Household Population;""....Apayao"";""Female"";""45-49"";3191",,,,
"Household Population;""....Apayao"";""Female"";""50-54"";2664",,,,
"Household Population;""....Apayao"";""Female"";""55-59"";2427",,,,
"Household Population;""....Apayao"";""Female"";""60-64"";2098",,,,
"Household Population;""....Apayao"";""Female"";""65-69"";1534",,,,
"Household Population;""....Apayao"";""Female"";""70-74"";1062",,,,
"Household Population;""....Apayao"";""Female"";""75-79"";695",,,,
"Household Population;""....Apayao"";""Female"";""80 years old and over"";985",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""All Ages"";459468",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""Below 5"";44600",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""5-9"";44600",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""10-14"";43730",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""15-19"";43789",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""20-24"";44984",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""25-29"";42441",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""30-34"";38230",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""35-39"";32625",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""40-44"";26865",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""45-49"";21946",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""50-54"";20356",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""55-59"";17733",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""60-64"";14108",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""65-69"";9629",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""70-74"";5953",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""75-79"";3695",,,,
"Household Population;""....Benguet *"";""Both Sexes"";""80 years old and over"";4184",,,,
"Household Population;""....Benguet *"";""Male"";""All Ages"";238436",,,,
"Household Population;""....Benguet *"";""Male"";""Below 5"";22964",,,,
"Household Population;""....Benguet *"";""Male"";""5-9"";23231",,,,
"Household Population;""....Benguet *"";""Male"";""10-14"";22403",,,,
"Household Population;""....Benguet *"";""Male"";""15-19"";22330",,,,
"Household Population;""....Benguet *"";""Male"";""20-24"";23155",,,,
"Household Population;""....Benguet *"";""Male"";""25-29"";22401",,,,
"Household Population;""....Benguet *"";""Male"";""30-34"";20432",,,,
"Household Population;""....Benguet *"";""Male"";""35-39"";17559",,,,
"Household Population;""....Benguet *"";""Male"";""40-44"";14382",,,,
"Household Population;""....Benguet *"";""Male"";""45-49"";11778",,,,
"Household Population;""....Benguet *"";""Male"";""50-54"";10639",,,,
"Household Population;""....Benguet *"";""Male"";""55-59"";9350",,,,
"Household Population;""....Benguet *"";""Male"";""60-64"";7211",,,,
"Household Population;""....Benguet *"";""Male"";""65-69"";4759",,,,
"Household Population;""....Benguet *"";""Male"";""70-74"";2746",,,,
"Household Population;""....Benguet *"";""Male"";""75-79"";1573",,,,
"Household Population;""....Benguet *"";""Male"";""80 years old and over"";1523",,,,
"Household Population;""....Benguet *"";""Female"";""All Ages"";221032",,,,
"Household Population;""....Benguet *"";""Female"";""Below 5"";21636",,,,
"Household Population;""....Benguet *"";""Female"";""5-9"";21369",,,,
"Household Population;""....Benguet *"";""Female"";""10-14"";21327",,,,
"Household Population;""....Benguet *"";""Female"";""15-19"";21459",,,,
"Household Population;""....Benguet *"";""Female"";""20-24"";21829",,,,
"Household Population;""....Benguet *"";""Female"";""25-29"";20040",,,,
"Household Population;""....Benguet *"";""Female"";""30-34"";17798",,,,
"Household Population;""....Benguet *"";""Female"";""35-39"";15066",,,,
"Household Population;""....Benguet *"";""Female"";""40-44"";12483",,,,
"Household Population;""....Benguet *"";""Female"";""45-49"";10168",,,,
"Household Population;""....Benguet *"";""Female"";""50-54"";9717",,,,
"Household Population;""....Benguet *"";""Female"";""55-59"";8383",,,,
"Household Population;""....Benguet *"";""Female"";""60-64"";6897",,,,
"Household Population;""....Benguet *"";""Female"";""65-69"";4870",,,,
"Household Population;""....Benguet *"";""Female"";""70-74"";3207",,,,
"Household Population;""....Benguet *"";""Female"";""75-79"";2122",,,,
"Household Population;""....Benguet *"";""Female"";""80 years old and over"";2661",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""All Ages"";207130",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""Below 5"";20424",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""5-9"";21918",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""10-14"";22235",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""15-19"";21219",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""20-24"";19754",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""25-29"";18376",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""30-34"";15723",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""35-39"";13209",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""40-44"";11348",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""45-49"";9466",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""50-54"";8398",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""55-59"";7253",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""60-64"";6032",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""65-69"";4685",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""70-74"";2837",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""75-79"";1695",,,,
"Household Population;""....Ifugao"";""Both Sexes"";""80 years old and over"";2558",,,,
"Household Population;""....Ifugao"";""Male"";""All Ages"";107699",,,,
"Household Population;""....Ifugao"";""Male"";""Below 5"";10538",,,,
"Household Population;""....Ifugao"";""Male"";""5-9"";11484",,,,
"Household Population;""....Ifugao"";""Male"";""10-14"";11389",,,,
"Household Population;""....Ifugao"";""Male"";""15-19"";10901",,,,
"Household Population;""....Ifugao"";""Male"";""20-24"";10216",,,,
"Household Population;""....Ifugao"";""Male"";""25-29"";9709",,,,
"Household Population;""....Ifugao"";""Male"";""30-34"";8410",,,,
"Household Population;""....Ifugao"";""Male"";""35-39"";7263",,,,
"Household Population;""....Ifugao"";""Male"";""40-44"";6171",,,,
"Household Population;""....Ifugao"";""Male"";""45-49"";5215",,,,
"Household Population;""....Ifugao"";""Male"";""50-54"";4351",,,,
"Household Population;""....Ifugao"";""Male"";""55-59"";3734",,,,
"Household Population;""....Ifugao"";""Male"";""60-64"";2951",,,,
"Household Population;""....Ifugao"";""Male"";""65-69"";2321",,,,
"Household Population;""....Ifugao"";""Male"";""70-74"";1361",,,,
"Household Population;""....Ifugao"";""Male"";""75-79"";707",,,,
"Household Population;""....Ifugao"";""Male"";""80 years old and over"";978",,,,
"Household Population;""....Ifugao"";""Female"";""All Ages"";99431",,,,
"Household Population;""....Ifugao"";""Female"";""Below 5"";9886",,,,
"Household Population;""....Ifugao"";""Female"";""5-9"";10434",,,,
"Household Population;""....Ifugao"";""Female"";""10-14"";10846",,,,
"Household Population;""....Ifugao"";""Female"";""15-19"";10318",,,,
"Household Population;""....Ifugao"";""Female"";""20-24"";9538",,,,
"Household Population;""....Ifugao"";""Female"";""25-29"";8667",,,,
"Household Population;""....Ifugao"";""Female"";""30-34"";7313",,,,
"Household Population;""....Ifugao"";""Female"";""35-39"";5946",,,,
"Household Population;""....Ifugao"";""Female"";""40-44"";5177",,,,
"Household Population;""....Ifugao"";""Female"";""45-49"";4251",,,,
"Household Population;""....Ifugao"";""Female"";""50-54"";4047",,,,
"Household Population;""....Ifugao"";""Female"";""55-59"";3519",,,,
"Household Population;""....Ifugao"";""Female"";""60-64"";3081",,,,
"Household Population;""....Ifugao"";""Female"";""65-69"";2364",,,,
"Household Population;""....Ifugao"";""Female"";""70-74"";1476",,,,
"Household Population;""....Ifugao"";""Female"";""75-79"";988",,,,
"Household Population;""....Ifugao"";""Female"";""80 years old and over"";1580",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""All Ages"";229328",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""Below 5"";22218",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""5-9"";23620",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""10-14"";24173",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""15-19"";24196",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""20-24"";22535",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""25-29"";19826",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""30-34"";16853",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""35-39"";14064",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""40-44"";12536",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""45-49"";10914",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""50-54"";9848",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""55-59"";8279",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""60-64"";6952",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""65-69"";5188",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""70-74"";3385",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""75-79"";2174",,,,
"Household Population;""....Kalinga"";""Both Sexes"";""80 years old and over"";2567",,,,
"Household Population;""....Kalinga"";""Male"";""All Ages"";118539",,,,
"Household Population;""....Kalinga"";""Male"";""Below 5"";11517",,,,
"Household Population;""....Kalinga"";""Male"";""5-9"";12261",,,,
"Household Population;""....Kalinga"";""Male"";""10-14"";12607",,,,
"Household Population;""....Kalinga"";""Male"";""15-19"";12376",,,,
"Household Population;""....Kalinga"";""Male"";""20-24"";11630",,,,
"Household Population;""....Kalinga"";""Male"";""25-29"";10366",,,,
"Household Population;""....Kalinga"";""Male"";""30-34"";9082",,,,
"Household Population;""....Kalinga"";""Male"";""35-39"";7500",,,,
"Household Population;""....Kalinga"";""Male"";""40-44"";6698",,,,
"Household Population;""....Kalinga"";""Male"";""45-49"";5667",,,,
"Household Population;""....Kalinga"";""Male"";""50-54"";5022",,,,
"Household Population;""....Kalinga"";""Male"";""55-59"";4287",,,,
"Household Population;""....Kalinga"";""Male"";""60-64"";3387",,,,
"Household Population;""....Kalinga"";""Male"";""65-69"";2587",,,,
"Household Population;""....Kalinga"";""Male"";""70-74"";1574",,,,
